Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold Male,0.011736,0.00781,1.011805137,0.996434771,1.027413,-0.153505,0.055083,0.984766718,0.974192099,0.995456,-0.00193,0.000989,0.975598646,0.951689901,1.000108,-0.000248,0.000877,0.998389299,0.987296401,1.009607
Age 0-10 All,0.028757,0.014177,1.029174475,1.000970551,1.058173,0.151574,0.12896,1.015272856,0.989932262,1.041262,0.002373,0.001656,1.030840408,0.98889084,1.07457,0.002497,0.0018,1.01636293,0.993320905,1.039939
Age 0-10 Female,0.022846,0.020763,1.023108969,0.982308878,1.065604,0.125303,0.185527,1.012609133,0.976448771,1.050109,0.001458,0.002392,1.018837631,0.959495075,1.08185,0.001724,0.00264,1.011269022,0.977822029,1.04586
Age 0-10 Male,0.033681,0.018218,1.034254627,0.997975772,1.071852,0.177357,0.168094,1.017893911,0.984904375,1.051988,0.003148,0.002154,1.041117234,0.986348881,1.098927,0.003132,0.00231,1.020566637,0.990969621,1.051048
Age 11-60 All,0.002454,0.005247,1.002457014,0.992200456,1.01282,-0.032978,0.046855,0.996707632,0.987596189,1.005903,0.000526,0.000627,1.006755516,0.991042979,1.022717,0.000199,0.000662,1.001294337,0.992885052,1.009775
Age 11-60 Female,0.004807,0.006818,1.004818572,0.991480221,1.018336,-0.008771,0.061042,0.999123285,0.987240766,1.011149,0.001291,0.000813,1.01666209,0.996135742,1.037611,0.001032,0.000859,1.006730549,0.995773298,1.017808
Age 11-60 Male,-0.00011,0.007171,0.999890006,0.985934694,1.014043,-0.059414,0.063858,0.994076215,0.98171173,1.006596,-0.00033,0.00086,0.995784909,0.974530288,1.017503,-0.000721,0.000905,0.995324465,0.983914575,1.006867
Age 60+All,0.02312,0.008136,1.023389339,1.007199231,1.03984,-0.004163,0.072029,0.999583787,0.985571125,1.013796,-0.000164,0.000998,0.997903002,0.973227877,1.023204,0.001426,0.001015,1.00931209,0.996344597,1.022448
Age 60+ Female,0.026672,0.00855,1.027030881,1.009963307,1.044387,0.010985,0.075642,1.001099104,0.986366458,1.016052,0.000313,0.001051,1.004014436,0.977887068,1.03084,0.001881,0.001066,1.012301549,0.998646577,1.026143
Age 60+ Male,0.017744,0.009176,1.01790236,0.999759069,1.036375,-0.027271,0.081301,0.997276615,0.981510963,1.013296,-0.000882,0.00112,0.988773888,0.961377468,1.016951,0.000738,0.001145,1.004808524,0.990257469,1.019573
All: LAG2,0.006871,0.00605,1.006894659,0.995025414,1.018905,-0.010974,0.052883,0.998903202,0.988602976,1.009311,-0.000216,0.000726,0.997239019,0.979239834,1.015569,0.000442,0.000757,1.002877131,0.993251693,1.012596
Female,0.008809,0.006595,1.008847913,0.995891264,1.021973,-0.011081,0.057523,0.998892514,0.987693741,1.010218,0.000379,0.000793,1.004862986,0.985069005,1.025055,0.000614,0.000824,1.003998975,0.993514363,1.014594
Male,0.0043,0.006637,1.004309258,0.991329289,1.017459,-0.010804,0.058179,0.998920183,0.987594111,1.010376,-0.001003,0.000795,0.987243661,0.96774819,1.007132,0.000213,0.000832,1.001385459,0.99082715,1.012056
Warm All,0.010968,0.005102,1.011028369,1.000968549,1.021189,0.199771,0.058152,1.020177978,1.008616216,1.031872,0.001489,0.000594,1.019241986,1.00416558,1.034545,0.000923,0.000718,1.006017533,0.996857129,1.015262
Warm Female,0.015121,0.005705,1.015235901,1.003946969,1.026652,0.219761,0.064872,1.022219353,1.009304205,1.0353,0.002476,0.000663,1.032200365,1.015173421,1.049513,0.0014,0.000803,1.009141531,0.998870418,1.019518
Warm Male,0.005479,0.005664,1.005494037,0.994393336,1.016719,0.172912,0.064793,1.017441558,1.00460233,1.030445,0.00019,0.000659,1.00243496,0.985997961,1.019146,0.000295,0.000797,1.00191934,0.991797545,1.012144
Cold All,0.000586,0.007208,1.000586172,0.986549596,1.014822,-0.1097,0.050252,0.989089951,0.979395835,0.99888,-0.003414,0.000909,0.957241853,0.935658994,0.979323,0.000133,0.000801,1.000864874,0.990703245,1.011131
Cold Female,-0.001312,0.007705,0.99868886,0.983720172,1.013885,-0.121403,0.053718,0.987933096,0.977585984,0.99839,-0.003335,0.000976,0.958210305,0.935032596,0.981963,-0.000015,0.000856,0.999902505,0.989057371,1.010867
Cold Male,0.003207,0.007854,1.003212148,0.987887119,1.018775,-0.093658,0.054769,0.990677922,0.980100145,1.00137,-0.003521,0.000985,0.955931711,0.932598521,0.979849,0.000335,0.000874,1.002179872,0.991082737,1.013401
Age 0-10 All,0.025893,0.014184,1.026231136,0.998094178,1.055161,0.001977,0.129048,1.00019772,0.975216572,1.025819,0.001804,0.001667,1.023359866,0.98144383,1.067066,0.00334,0.001802,1.021947377,0.998753298,1.04568
Age 0-10 Female,0.016418,0.020774,1.016553516,0.975993805,1.058799,-0.108387,0.185728,0.989219827,0.95385712,1.025894,0.00183,0.002393,1.023700497,0.964050515,1.087041,0.000832,0.002651,1.00542265,0.972032791,1.039959
Age 0-10 Male,0.033254,0.018194,1.033813094,0.997596653,1.071344,0.093782,0.167817,1.009422313,0.976760366,1.043176,0.001788,0.002173,1.023150303,0.968865166,1.080477,0.005292,0.002303,1.034996453,1.005070592,1.065813
Age 11-60 All,-0.00698,0.005281,0.993044304,0.982818554,1.003376,-0.063391,0.046702,0.99368095,0.984626702,1.002818,0.000012,0.000629,1.000153612,0.984494712,1.016062,-0.000573,0.000667,0.996282427,0.987852306,1.004784
Age 11-60 Female,-0.002412,0.006861,0.997590907,0.984265541,1.011097,-0.035181,0.060677,0.996488081,0.984707347,1.00841,0.000455,0.000817,1.005840992,0.985434226,1.02667,-0.000069,0.000866,0.999551601,0.988584319,1.010641
Age 11-60 Male,-0.011979,0.007206,0.988092463,0.974234972,1.002147,-0.094854,0.063741,0.990559445,0.978261134,1.003012,-0.00048,0.000859,0.993874836,0.972685387,1.015526,-0.001126,0.00091,0.992707719,0.981265317,1.004284
